ID_Venta,Producto,Ciudad,Categoria,Precio_Unitario,Cantidad,Fecha_Venta,Cliente,Email,Telefono,Direccion,Metodo_Pago,Estado,Comentario,Descuento,MacroCategoria,Total_Compra,Categoria_Cliente
23,cereal,New Reginaldmouth,job,3000,16,9/13/2023,Dr Monica Woods,edward94@example.org,339-100-4282,233 Peterson Canyon Tranmouth ND 40770,Tarjeta,En camino,Sin comentario,19,Alimentos,48000,Regular
1,zapatos,East Josephland,individual,200,11,5/6/2023,Andrew Mitchell,paul49@example.net,175-317-5834,93043 Kiara Crossroad Port Amandachester WI 16919,Efectivo,Entregado,Sin comentario,83,Ropa,2200,Regular
20,cereal,Lindaport,still,300,23,10/15/2023,Karl Cardenas,rbrown@example.org,686-499-0991,30768 Louis Mill Lake Carmen LA 47934,Efectivo,En camino,Sin comentario,88,Alimentos,6900,Regular
5,bloques,East Brittany,matter,200,28,12/4/2022,Adam Mueller,paul02@example.com,621-875-1265,664 Berger Rapid South Suzanne WV 68526,Tarjeta,Entregado,Producto defectuoso,28,Juguetería,5600,VIP
20,bloques,South Timothyberg,north,300,11,5/6/2023,Sean Mitchell,ydavid@example.com,557-193-8141,915 Mathis Camp Apt 447 Thomastown MS 44338,Tarjeta,Entregado,Producto defectuoso,49,Juguetería,3300,Regular
4,bloques,North Brittney,budget,1100,23,11/20/2023,Andrew Mitchell,briangonzales@example.net,105-592-6193,18235 Carl Garden Apt 025 Lake Miranda LA 16737,Tarjeta,Entregado,Sin comentario,54,Juguetería,25300,VIP
24,bloques,North Brittney,budget,2100,23,3/22/2023,Roger Stephens,steelejulian@example.net,338-955-6200,2644 Gonzalez Mills Apt 856 Port Frank IN 25816,Efectivo,Entregado,Producto defectuoso,74,Juguetería,48300,Regular
26,zapatos,East Janicemouth,matter,700,21,1/14/2023,Sean Mitchell,eric24@example.com,594-337-5421,18235 Carl Garden Apt 025 Lake Miranda LA 16737,Tarjeta,En camino,Sin comentario,38,Ropa,14700,VIP
12,zapatos,Nguyenshire,leader,700,30,9/23/2023,Charles Williams,sandersbeth@example.org,641-800-6599,664 Berger Rapid South Suzanne WV 68526,Tarjeta,Entregado,Producto defectuoso,25,Ropa,21000,VIP
30,zapatos,East Janicemouth,pay,1500,10,8/27/2023,Dr Monica Woods,parkerandrew@example.org,266-167-3098,18235 Carl Garden Apt 025 Lake Miranda LA 16737,Tarjeta,Entregado,Sin comentario,74,Ropa,15000,Regular
11,bloques,North Jasmine,budget,2100,10,7/15/2023,Kelsey Lopez,powersjimmy@example.org,857-262-8794,18235 Carl Garden Apt 025 Lake Miranda LA 16737,Efectivo,En camino,Producto defectuoso,53,Juguetería,21000,Regular
19,crema,East Brittany,TV,900,22,2/9/2023,Jennifer Holmes,estesjon@example.org,419-330-3873,664 Berger Rapid South Suzanne WV 68526,Tarjeta,En camino,Producto defectuoso,27,Cuidado Personal,19800,VIP
17,tubería,North Jasmine,set,600,22,2/9/2023,Dr Monica Woods,wwilson@example.org,338-955-6200,664 Berger Rapid South Suzanne WV 68526,Efectivo,Entregado,Producto defectuoso,43,construcción,13200,VIP
30,bloques,Larrychester,spring,2100,28,3/13/2023,Robert Bryant,wwilson@example.org,848-723-3346,91315 Simpson Fork Apt 336 South Mark GA 64860,Tarjeta,Entregado,Producto defectuoso,24,Juguetería,58800,VIP
23,bloques,East Leah,individual,200,22,3/22/2023,Kelsey Lopez,paul02@example.com,686-499-0991,7474 Sean Pine Frazierchester OK 57469,Efectivo,Entregado,Producto defectuoso,87,Juguetería,4400,VIP
17,crema,East Josephland,despite,900,21,9/13/2023,Benjamin Chan,david09@example.com,857-262-8794,37970 Hudson Falls Downshaven PA 58533,Tarjeta,Entregado,Sin comentario,28,Cuidado Personal,18900,VIP
15,cereal,New Reginaldmouth,set,1300,29,5/5/2023,Dr Monica Woods,lweaver@example.org,612-821-1834,7474 Sean Pine Frazierchester OK 57469,Efectivo,Entregado,Sin comentario,83,Alimentos,37700,Regular
21,cereal,South Timothyberg,grow,700,10,5/6/2023,Susan Harvey,matthew29@example.com,175-317-5834,03346 Tony Spring Apt 633 Ericberg AK 73272,Tarjeta,En camino,Sin comentario,30,Alimentos,7000,Regular
18,smartphone,Port Kelly,individual,2100,27,8/13/2023,Lisa Stafford,estesjon@example.org,266-167-3098,67032 Megan Cliffs Suite 876 Loveside SD 53246,Efectivo,Entregado,Producto defectuoso,19,Tecnología,56700,Regular
17,zapatos,Jessechester,popular,300,26,9/1/2023,Angela Taylor,ydavid@example.com,096-236-8217,67032 Megan Cliffs Suite 876 Loveside SD 53246,Tarjeta,Entregado,Producto defectuoso,88,Ropa,7800,Regular
26,zapatos,New Reginaldmouth,leader,2100,21,6/7/2023,Susan Harvey,schmidtkrystal@example.org,890-231-3672,2644 Gonzalez Mills Apt 856 Port Frank IN 25816,Tarjeta,Entregado,Sin comentario,36,Ropa,44100,VIP
3,silla,Jessechester,member,1100,25,7/8/2023,Susan Harvey,rdaugherty@example.net,236-332-5014,93043 Kiara Crossroad Port Amandachester WI 16919,Tarjeta,En camino,Producto defectuoso,83,Hogar,27500,Regular
9,crema,Nguyenshire,set,1100,17,5/5/2023,Mark Mays,lweaver@example.org,857-262-8794,29882 Stein Tunnel Apt 468 Port Jacquelineville HI 77063,Tarjeta,Entregado,Producto defectuoso,19,Cuidado Personal,18700,Regular
16,smartphone,Lake Juan,matter,1500,8,7/8/2023,Adam Mueller,rbrown@example.org,266-167-3098,22214 Janet Plaza Suite 903 West Christopherside DC 40075,Tarjeta,En camino,Producto defectuoso,88,Tecnología,12000,VIP
16,zapatos,Trujillofort,grow,1100,11,6/7/2023,Carla Orozco,dhuber@example.com,621-875-1265,507 Johnson Port Banksshire AK 72140,Tarjeta,En camino,Sin comentario,38,Ropa,12100,Regular
7,smartphone,Trujillofort,popular,900,24,7/15/2023,Jessica Davis,rbrown@example.org,175-317-5834,4412 Lee Dam Apt 872 Hunterbury HI 03589,Tarjeta,En camino,Sin comentario,19,Tecnología,21600,VIP
21,cereal,North Brittney,finish,2100,22,9/13/2023,Lisa Stafford,lweaver@example.org,848-723-3346,30768 Louis Mill Lake Carmen LA 47934,Efectivo,Entregado,Sin comentario,42,Alimentos,46200,VIP
19,smartphone,Valerietown,leg,2400,17,10/15/2023,Susan Harvey,powersjimmy@example.org,630-469-6433,7474 Sean Pine Frazierchester OK 57469,Efectivo,En camino,Sin comentario,54,Tecnología,40800,Regular
20,crema,East Jonathan,say,1300,27,8/17/2023,Jessica Davis,briangonzales@example.net,175-317-5834,37970 Hudson Falls Downshaven PA 58533,Tarjeta,En camino,Producto defectuoso,53,Cuidado Personal,35100,Regular
3,crema,Andrewside,group,2100,12,1/4/2023,Lisa Stafford,krystalmcdaniel@example.org,475-336-0709,29340 Murphy Parkway North Robert KS 42070,Efectivo,Entregado,Producto defectuoso,53,Cuidado Personal,25200,VIP
16,freno,East Janicemouth,letter,1100,22,9/13/2023,Crystal Chambers,lweaver@example.org,602-238-8997,403 Ashley Mountains Apt 918 Nicholasberg MI 72538,Tarjeta,En camino,Producto defectuoso,28,Automotriz,24200,Regular
26,tubería,Susanton,finish,700,18,9/12/2023,Karl Cardenas,hornebeth@example.com,101-988-9703,848 Jimmy Hill Apt 415 Stanleyside MA 75473,Tarjeta,En camino,Producto defectuoso,30,construcción,12600,Regular
1,bloques,Brendanberg,step,300,21,5/6/2023,Daniel Garcia,paul02@example.com,509-821-0932,848 Jimmy Hill Apt 415 Stanleyside MA 75473,Efectivo,Entregado,Sin comentario,78,Juguetería,6300,VIP
15,zapatos,Valerietown,rich,300,10,1/14/2023,Samantha Parker,brianboyd@example.org,857-262-8794,USS Fuller FPO AA 30334,Tarjeta,En camino,Sin comentario,14,Ropa,3000,Regular
1,zapatos,South Thomas,pay,1600,21,6/28/2023,Lisa Stafford,walkerraven@example.net,266-167-3098,37970 Hudson Falls Downshaven PA 58533,Tarjeta,Entregado,Producto defectuoso,87,Ropa,33600,Regular
22,crema,North Thomastown,popular,900,29,8/27/2023,Angela Taylor,rdaugherty@example.net,602-238-8997,403 Ashley Mountains Apt 918 Nicholasberg MI 72538,Tarjeta,En camino,Producto defectuoso,14,Cuidado Personal,26100,Regular
22,tubería,Vasquezborough,north,2100,14,7/15/2023,Cynthia Hayes,matthew29@example.com,096-236-8217,PSC 2182 Box 8243 APO AP 79039,Tarjeta,Entregado,Producto defectuoso,4,construcción,29400,Regular
21,crema,East Leah,still,300,16,9/13/2023,Sharon Lowe,lweaver@example.org,686-499-0991,91315 Simpson Fork Apt 336 South Mark GA 64860,Tarjeta,Entregado,Sin comentario,39,Cuidado Personal,4800,Regular
11,zapatos,Lake Juan,industry,1500,2,8/17/2023,Jennifer Holmes,cwilliams@example.com,369-774-6572,29340 Murphy Parkway North Robert KS 42070,Efectivo,Entregado,Sin comentario,88,Ropa,3000,Regular
23,smartphone,East Jonathan,popular,1500,27,7/25/2023,Lisa Stafford,david09@example.com,339-100-4282,50604 Anthony Villages New William ME 95446,Efectivo,Entregado,Producto defectuoso,24,Tecnología,40500,Regular
22,crema,Larrychester,at,700,7,3/13/2023,Dr Monica Woods,hornebeth@example.com,594-337-5421,025 Billy Row Lisaside AR 96338,Tarjeta,Entregado,Producto defectuoso,30,Cuidado Personal,4900,VIP
21,smartphone,Valerietown,finish,2000,15,3/22/2023,Andrew Mitchell,lharmon@example.net,890-231-3672,403 Ashley Mountains Apt 918 Nicholasberg MI 72538,Tarjeta,Entregado,Producto defectuoso,53,Tecnología,30000,VIP
12,tubería,South Timothyberg,spring,3000,18,2/9/2023,Jessica Davis,david09@example.com,525-194-7529,025 Billy Row Lisaside AR 96338,Efectivo,En camino,Producto defectuoso,43,construcción,54000,VIP
28,bloques,Lindaport,spring,1500,9,9/23/2023,Daniel Garcia,parkerandrew@example.org,339-100-4282,22214 Janet Plaza Suite 903 West Christopherside DC 40075,Tarjeta,Entregado,Sin comentario,88,Juguetería,13500,VIP
23,smartphone,East Josephland,step,700,7,6/28/2023,Samantha Hodges,eric24@example.com,509-821-0932,22214 Janet Plaza Suite 903 West Christopherside DC 40075,Efectivo,En camino,Sin comentario,25,Tecnología,4900,Regular
27,smartphone,Port Alexachester,exist,1500,11,9/13/2023,Cynthia Hayes,sandersbeth@example.org,870-860-8083,29882 Stein Tunnel Apt 468 Port Jacquelineville HI 77063,Efectivo,Entregado,Producto defectuoso,83,Tecnología,16500,Regular
23,silla,Susanton,step,600,16,3/22/2023,Cynthia Hayes,powersjimmy@example.org,557-543-1910,4412 Lee Dam Apt 872 Hunterbury HI 03589,Efectivo,Entregado,Sin comentario,83,Hogar,9600,VIP
16,smartphone,East Josephland,grow,1100,25,9/23/2023,Jennifer Holmes,harperdanielle@example.net,602-238-8997,18235 Carl Garden Apt 025 Lake Miranda LA 16737,Efectivo,En camino,Producto defectuoso,78,Tecnología,27500,VIP
29,tubería,Courtneymouth,north,700,8,8/17/2023,Roger Stephens,lweaver@example.org,509-821-0932,29882 Stein Tunnel Apt 468 Port Jacquelineville HI 77063,Efectivo,Entregado,Producto defectuoso,42,construcción,5600,VIP
5,smartphone,New Reginaldmouth,grow,1300,21,6/21/2023,Lisa Stafford,karaware@example.net,096-236-8217,03346 Tony Spring Apt 633 Ericberg AK 73272,Efectivo,Entregado,Producto defectuoso,19,Tecnología,27300,Regular
20,tubería,Larrychester,rich,200,10,7/8/2023,Jennifer Holmes,eric87@example.org,101-988-9703,91315 Simpson Fork Apt 336 South Mark GA 64860,Efectivo,En camino,Sin comentario,25,construcción,2000,Regular
6,zapatos,Larrychester,finish,2500,23,8/17/2023,Angela Taylor,powersjimmy@example.org,557-193-8141,37970 Hudson Falls Downshaven PA 58533,Tarjeta,Entregado,Producto defectuoso,25,Ropa,57500,Regular
8,bloques,Port Kelly,popular,700,28,11/20/2023,Carla Orozco,wliu@example.net,857-262-8794,848 Jimmy Hill Apt 415 Stanleyside MA 75473,Tarjeta,Entregado,Producto defectuoso,83,Juguetería,19600,Regular
9,tubería,Valerietown,much,900,11,9/13/2023,Susan Harvey,parkerandrew@example.org,105-592-6193,91315 Simpson Fork Apt 336 South Mark GA 64860,Tarjeta,En camino,Producto defectuoso,30,construcción,9900,VIP
5,bloques,Nguyenshire,leg,900,11,7/10/2023,Lisa Stafford,wwilson@example.org,372-568-4886,93043 Kiara Crossroad Port Amandachester WI 16919,Tarjeta,Entregado,Sin comentario,30,Juguetería,9900,VIP
2,cereal,New Reginaldmouth,individual,200,23,11/20/2023,Jessica Davis,estesjon@example.org,372-568-4886,769 Dickerson Drive Jasminemouth HI 08895,Efectivo,Entregado,Producto defectuoso,72,Alimentos,4600,VIP
26,zapatos,New Reginaldmouth,matter,2300,27,6/28/2023,Susan Harvey,wwilson@example.org,630-469-6433,769 Dickerson Drive Jasminemouth HI 08895,Efectivo,Entregado,Sin comentario,43,Ropa,62100,VIP
10,cereal,Kevinton,popular,300,30,6/28/2023,David Norton,estesjon@example.org,557-543-1910,29340 Murphy Parkway North Robert KS 42070,Efectivo,Entregado,Sin comentario,42,Alimentos,9000,VIP
2,bloques,North Thomastown,movement,1100,16,8/13/2023,Brittney Guerra,wliu@example.net,557-193-8141,29882 Stein Tunnel Apt 468 Port Jacquelineville HI 77063,Tarjeta,En camino,Producto defectuoso,36,Juguetería,17600,VIP
27,silla,Lake Juan,despite,3000,13,7/15/2023,Daniel Garcia,harperdanielle@example.net,105-592-6193,11613 Miller Ridges Suite 186 East Nicholas MN 69937,Tarjeta,Entregado,Sin comentario,28,Hogar,39000,Regular
29,tubería,Nguyenshire,rich,900,8,8/13/2023,Michelle Mitchell,matthew29@example.com,096-236-8217,769 Dickerson Drive Jasminemouth HI 08895,Efectivo,Entregado,Sin comentario,18,construcción,7200,VIP
17,cereal,Briannaport,job,1500,17,5/5/2023,Carla Orozco,steelejulian@example.net,491-474-2586,403 Ashley Mountains Apt 918 Nicholasberg MI 72538,Tarjeta,En camino,Producto defectuoso,39,Alimentos,25500,Regular
8,smartphone,North Thomastown,group,2500,26,1/14/2023,Sean Mitchell,karaware@example.net,101-988-9703,025 Billy Row Lisaside AR 96338,Efectivo,Entregado,Producto defectuoso,19,Tecnología,65000,VIP
27,bloques,Milesburgh,at,700,8,5/6/2023,David Norton,briangonzales@example.net,372-568-4886,848 Jimmy Hill Apt 415 Stanleyside MA 75473,Tarjeta,Entregado,Producto defectuoso,24,Juguetería,5600,VIP
20,cereal,Valerietown,individual,1300,27,1/14/2023,Robert Bryant,dhuber@example.com,475-336-0709,29882 Stein Tunnel Apt 468 Port Jacquelineville HI 77063,Efectivo,En camino,Producto defectuoso,27,Alimentos,35100,Regular
7,crema,Larrychester,individual,700,16,6/7/2023,Benjamin Chan,lharmon@example.net,101-988-9703,848 Jimmy Hill Apt 415 Stanleyside MA 75473,Efectivo,En camino,Sin comentario,18,Cuidado Personal,11200,Regular
20,zapatos,Andrewside,group,1500,16,9/13/2023,Susan Harvey,powersjimmy@example.org,525-194-7529,67032 Megan Cliffs Suite 876 Loveside SD 53246,Tarjeta,Entregado,Producto defectuoso,4,Ropa,24000,VIP
9,bloques,Susanton,industry,200,10,1/4/2023,Dr Monica Woods,rbrown@example.org,314-325-7035,93043 Kiara Crossroad Port Amandachester WI 16919,Efectivo,En camino,Sin comentario,88,Juguetería,2000,Regular
13,tubería,Courtneymouth,movement,1100,21,8/13/2023,Juan Manning,eric24@example.com,101-988-9703,29882 Stein Tunnel Apt 468 Port Jacquelineville HI 77063,Efectivo,Entregado,Producto defectuoso,74,construcción,23100,VIP
14,zapatos,East Brittany,budget,300,8,7/8/2023,Michelle Mitchell,krystalmcdaniel@example.org,890-231-3672,848 Jimmy Hill Apt 415 Stanleyside MA 75473,Tarjeta,Entregado,Sin comentario,36,Ropa,2400,VIP
7,cereal,Valerietown,member,700,18,9/13/2023,Karl Cardenas,karaware@example.net,175-317-5834,2644 Gonzalez Mills Apt 856 Port Frank IN 25816,Efectivo,Entregado,Sin comentario,4,Alimentos,12600,Regular
25,crema,New Reginaldmouth,leader,2300,23,5/5/2023,Jennifer Holmes,wwilson@example.org,266-167-3098,769 Dickerson Drive Jasminemouth HI 08895,Tarjeta,En camino,Sin comentario,4,Cuidado Personal,52900,VIP
6,smartphone,Milesburgh,member,900,13,4/14/2023,Jennifer Holmes,schmidtkrystal@example.org,369-774-6572,664 Berger Rapid South Suzanne WV 68526,Efectivo,En camino,Producto defectuoso,78,Tecnología,11700,VIP
5,zapatos,East Leah,at,200,27,7/8/2023,Alan Bird,lweaver@example.org,369-774-6572,507 Johnson Port Banksshire AK 72140,Tarjeta,En camino,Sin comentario,28,Ropa,5400,VIP
29,cereal,Trujillofort,popular,900,16,7/15/2023,Carla Orozco,rdaugherty@example.net,096-236-8217,29882 Stein Tunnel Apt 468 Port Jacquelineville HI 77063,Tarjeta,En camino,Producto defectuoso,21,Alimentos,14400,Regular
3,smartphone,Lake Juan,industry,600,15,10/15/2023,Sharon Lowe,edward94@example.org,686-499-0991,915 Mathis Camp Apt 447 Thomastown MS 44338,Tarjeta,En camino,Sin comentario,21,Tecnología,9000,VIP
21,bloques,Brendanberg,increase,300,12,9/13/2023,Jessica Davis,briangonzales@example.net,509-821-0932,22214 Janet Plaza Suite 903 West Christopherside DC 40075,Tarjeta,Entregado,Producto defectuoso,18,Juguetería,3600,VIP
11,smartphone,Kevinton,whom,2400,15,7/15/2023,Mark Mays,eric87@example.org,314-325-7035,493 Cameron Ramp Veronicatown MI 81010,Tarjeta,Entregado,Producto defectuoso,74,Tecnología,36000,Regular
4,tubería,Kevinton,grow,1100,10,1/14/2023,Angela Taylor,wwilson@example.org,105-592-6193,769 Dickerson Drive Jasminemouth HI 08895,Tarjeta,En camino,Producto defectuoso,14,construcción,11000,Regular
23,crema,Trujillofort,leg,700,11,3/22/2023,Benjamin Chan,dhuber@example.com,612-821-1834,22214 Janet Plaza Suite 903 West Christopherside DC 40075,Tarjeta,Entregado,Producto defectuoso,19,Cuidado Personal,7700,Regular
2,crema,Brendanberg,grow,700,26,7/15/2023,Roger Stephens,ydavid@example.com,525-194-7529,9978 Kenneth Plaza Suite 069 Monicafurt NM 39529,Tarjeta,Entregado,Sin comentario,43,Cuidado Personal,18200,VIP
7,bloques,Courtneymouth,budget,2500,23,3/14/2023,David Norton,lharmon@example.net,509-821-0932,91315 Simpson Fork Apt 336 South Mark GA 64860,Tarjeta,En camino,Producto defectuoso,97,Juguetería,57500,VIP
12,crema,East Janicemouth,leader,300,11,3/22/2023,Lisa Stafford,wwilson@example.org,641-800-6599,USS Fuller FPO AA 30334,Tarjeta,En camino,Sin comentario,83,Cuidado Personal,3300,Regular
22,smartphone,New Reginaldmouth,whom,2500,18,12/4/2022,Roger Stephens,eric87@example.org,686-499-0991,403 Ashley Mountains Apt 918 Nicholasberg MI 72538,Tarjeta,En camino,Sin comentario,27,Tecnología,45000,Regular
6,crema,Milesburgh,north,1600,29,8/27/2023,Samantha Hodges,estesjon@example.org,594-337-5421,7474 Sean Pine Frazierchester OK 57469,Tarjeta,Entregado,Sin comentario,97,Cuidado Personal,46400,VIP
15,bloques,East Leah,set,900,21,7/8/2023,Susan Harvey,hornebeth@example.com,339-100-4282,30768 Louis Mill Lake Carmen LA 47934,Tarjeta,En camino,Sin comentario,27,Juguetería,18900,VIP
14,tubería,West Charles,popular,2000,2,6/21/2023,Roger Stephens,matthew29@example.com,475-336-0709,7474 Sean Pine Frazierchester OK 57469,Tarjeta,Entregado,Sin comentario,25,construcción,4000,Regular
7,smartphone,East Jonathan,job,1500,11,12/4/2022,Charles Williams,matthew29@example.com,096-236-8217,93043 Kiara Crossroad Port Amandachester WI 16919,Tarjeta,En camino,Sin comentario,87,Tecnología,16500,Regular
11,crema,New Reginaldmouth,popular,2300,22,6/6/2023,Mark Mays,ydavid@example.com,594-337-5421,37970 Hudson Falls Downshaven PA 58533,Tarjeta,Entregado,Sin comentario,78,Cuidado Personal,50600,Regular
27,tubería,Jodichester,job,2100,26,6/6/2023,Samantha Hodges,edward94@example.org,372-568-4886,915 Mathis Camp Apt 447 Thomastown MS 44338,Tarjeta,Entregado,Sin comentario,98,construcción,54600,VIP
18,tubería,Courtneymouth,step,1500,23,11/20/2023,Brittney Guerra,paul02@example.com,491-474-2586,USS Fuller FPO AA 30334,Tarjeta,En camino,Producto defectuoso,72,construcción,34500,Regular
4,crema,North Brittney,north,1500,22,9/12/2023,Samantha Parker,eric24@example.com,372-568-4886,50604 Anthony Villages New William ME 95446,Tarjeta,Entregado,Producto defectuoso,97,Cuidado Personal,33000,Regular
5,crema,Lindaport,at,800,16,1/18/2023,Crystal Chambers,brianboyd@example.org,525-194-7529,493 Cameron Ramp Veronicatown MI 81010,Tarjeta,En camino,Producto defectuoso,14,Cuidado Personal,12800,VIP
8,bloques,Kevinton,member,2100,9,9/13/2023,David Scott,powersjimmy@example.org,621-875-1265,PSC 2182 Box 8243 APO AP 79039,Efectivo,En camino,Producto defectuoso,43,Juguetería,18900,Regular
22,smartphone,North Jasmine,pay,2800,18,9/23/2023,Kelsey Lopez,edward94@example.org,594-337-5421,915 Mathis Camp Apt 447 Thomastown MS 44338,Efectivo,Entregado,Producto defectuoso,78,Tecnología,50400,VIP
11,silla,West Charles,north,1100,22,7/10/2023,Juan Manning,schmidtkrystal@example.org,641-800-6599,PSC 2182 Box 8243 APO AP 79039,Efectivo,Entregado,Producto defectuoso,25,Hogar,24200,VIP
23,bloques,Kevinton,increase,200,9,8/27/2023,Samantha Hodges,brianboyd@example.org,372-568-4886,7474 Sean Pine Frazierchester OK 57469,Efectivo,Entregado,Producto defectuoso,21,Juguetería,1800,VIP
10,freno,New Reginaldmouth,spring,300,30,8/17/2023,Samantha Hodges,edward94@example.org,509-821-0932,915 Mathis Camp Apt 447 Thomastown MS 44338,Efectivo,Entregado,Sin comentario,36,Automotriz,9000,Regular
22,silla,Port Kelly,industry,300,14,9/12/2023,Dr Monica Woods,edward94@example.org,338-955-6200,18235 Carl Garden Apt 025 Lake Miranda LA 16737,Efectivo,Entregado,Sin comentario,54,Hogar,4200,Regular
5,crema,West Charles,group,900,14,6/28/2023,Carla Orozco,hornebeth@example.com,314-325-7035,0262 Cheryl Union Sampsonfurt ME 63401,Efectivo,En camino,Sin comentario,36,Cuidado Personal,12600,Regular
12,zapatos,Courtneymouth,movement,1100,14,1/4/2023,Jennifer Holmes,steelejulian@example.net,096-236-8217,0827 Jill Cape Suite 299 Angieport DC 15542,Efectivo,En camino,Sin comentario,12,Ropa,15400,VIP
1,tubería,Port Kelly,forward,1100,16,12/4/2022,Cynthia Hayes,eric24@example.com,602-238-8997,37970 Hudson Falls Downshaven PA 58533,Tarjeta,En camino,Producto defectuoso,49,construcción,17600,VIP
19,bloques,East Janicemouth,north,2100,25,7/10/2023,Sean Mitchell,wliu@example.net,630-469-6433,403 Ashley Mountains Apt 918 Nicholasberg MI 72538,Tarjeta,Entregado,Producto defectuoso,24,Juguetería,52500,VIP
7,bloques,East Brittany,budget,2500,13,6/17/2023,Alan Bird,brianboyd@example.org,594-337-5421,03346 Tony Spring Apt 633 Ericberg AK 73272,Tarjeta,En camino,Sin comentario,39,Juguetería,32500,Regular
23,bloques,East Jonathan,pay,2100,11,9/1/2023,Angela Taylor,vhill@example.org,096-236-8217,507 Johnson Port Banksshire AK 72140,Tarjeta,En camino,Sin comentario,25,Juguetería,23100,VIP
3,cereal,Valerietown,pay,700,30,10/15/2023,Dr Monica Woods,eric87@example.org,266-167-3098,18235 Carl Garden Apt 025 Lake Miranda LA 16737,Tarjeta,En camino,Producto defectuoso,12,Alimentos,21000,VIP
15,tubería,New Reginaldmouth,north,800,15,7/15/2023,Carla Orozco,eric87@example.org,630-469-6433,29882 Stein Tunnel Apt 468 Port Jacquelineville HI 77063,Tarjeta,En camino,Producto defectuoso,39,construcción,12000,Regular
6,cereal,Jessechester,leg,2400,21,1/14/2023,Adam Mueller,vhill@example.org,602-238-8997,664 Berger Rapid South Suzanne WV 68526,Efectivo,Entregado,Sin comentario,21,Alimentos,50400,Regular
13,cereal,Lake Juan,despite,700,13,7/8/2023,Benjamin Chan,wwilson@example.org,870-860-8083,30768 Louis Mill Lake Carmen LA 47934,Efectivo,Entregado,Sin comentario,36,Alimentos,9100,Regular
23,freno,East Brittany,pay,2600,14,11/20/2023,Michelle Mitchell,sandersbeth@example.org,630-469-6433,03346 Tony Spring Apt 633 Ericberg AK 73272,Tarjeta,Entregado,Sin comentario,18,Automotriz,36400,Regular
4,silla,Lake Juan,finish,2100,15,8/27/2023,Andrew Mitchell,powersjimmy@example.org,857-262-8794,233 Peterson Canyon Tranmouth ND 40770,Efectivo,En camino,Producto defectuoso,27,Hogar,31500,VIP
1,tubería,Briannaport,finish,900,10,7/15/2023,Karl Cardenas,wliu@example.net,419-330-3873,7474 Sean Pine Frazierchester OK 57469,Efectivo,Entregado,Producto defectuoso,55,construcción,9000,Regular
28,tubería,South Thomas,popular,1100,17,5/6/2023,Mark Mays,sandersbeth@example.org,641-800-6599,30768 Louis Mill Lake Carmen LA 47934,Tarjeta,Entregado,Producto defectuoso,18,construcción,18700,VIP
